Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Damages ('000 US$),CPI
2012,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Sandy,United States of America (the),USA,Americas,"New York, New Jersey, Pennsylvania, Connecticut, Ohio, Delaware, Rhode Island, Maryland, Massachusetts, Maine, New Hampshire, North Carolina, Vermont, Virginia, District of Columbia, West Virginia provinces",,Kph,2012,10.0,28.0,2012,10.0,28.0,54.0,50000000.0,88.71096898
2012,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Isaac,United States of America (the),USA,Americas,"Mississippi, Louisiana provinces",83938.0,Kph,2012,8.0,28.0,2012,8.0,29.0,1.0,2000000.0,88.71096898
2012,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Debby,United States of America (the),USA,Americas,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington, Brevard, Citrus, Hardee, Hernando, Hillsborough, Indian River, Lake, Manatee, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Volusia districts",67994.0,Kph,2012,6.0,22.0,2012,6.0,27.0,9.0,210000.0,88.71096898
2014,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Iselle,United States of America (the),USA,Americas,Hawaii province,95.0,Kph,2014,8.0,8.0,2014,8.0,10.0,1.0,66000.0,91.47061409
2015,Natural,Meteorological,Storm,Tropical cyclone,,Joaquin,United States of America (the),USA,Americas,"South Carolina, North Carolina",,Kph,2015,10.0,1.0,2015,10.0,13.0,25.0,2000000.0,91.57911703
2016,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Hermine,United States of America (the),USA,Americas,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",85.0,Kph,2016,9.0,1.0,2016,9.0,6.0,3.0,600000.0,92.73447917
2016,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Matthew',United States of America (the),USA,Americas,"Florida, Georgia, South Carolina, North Carolina, Virginia provinces",,Kph,2016,10.0,8.0,2016,10.0,12.0,49.0,10000000.0,92.73447917
2017,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Harvey,United States of America (the),USA,Americas,"Eastern Texas (Rockport, Corpus Chrsti, Port Lavaca, Cypress area of Houston, Houston metro area, Beaumont, Port Arthur, Angelina, Aransas, Atascosa, Austin, Bastrop, Bee, Bexar, Brazoria, Brazos, Burleson, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Jackson, Jasper, Jefferson, Jim Wells, Karnes, Kerr, Kleberg, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Newton, Nueces, Orange, Polk, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson, San Augustine), Southwestern Louisiana (Acadia, Forrest, Iberia, Lafayette, Vernon, Beauregard, Calcasieu, Cameron (Hackberry), Jefferson Davis, Vermillion, Allen, Natchitoches, Rapides, Sabine)",215.0,Kph,2017,8.0,25.0,2017,8.0,29.0,88.0,95000000.0,94.70984073
2017,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Irma',United States of America (the),USA,Americas,"Keys islands, Monroe, South Florida, Jacksonville (Duval), Marco Island, Naples (Collier), Fort Lauderdale (Broward), Lakeland (Polk), Orlando (Orange), Clay (Florida), Savannah, Tybee Island (Chatham), Brunswick, St. Simons Island (Glynn), McIntosh, Camden (Georgia), Charleston, Folly Beach, the Isle of Palms, Sullivan’s Island (Charleston) Hilton Head, Beaufort, Edisto Beach (Colleton) (South Carolina)",300.0,Kph,2017,9.0,10.0,2017,9.0,28.0,97.0,57000000.0,94.70984073
2017,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Maria',United States of America (the),USA,Americas,"Jersey shore, Seaside Park, Point Pleasant Beach (Ocean), Long Branch (Monmouth) (New Jersey), Fernandina beach (Nassau-Florida)",,Kph,2017,9.0,26.0,2017,9.0,27.0,4.0,,94.70984073
2017,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression'16/Hurricane 'Nate',United States of America (the),USA,Americas,"Mexico Gulf, Louisiania, Mississippi (coastal areas, Biloxi), Alabama (Dauphin Island, Autauga, Chilton, Lowndes Counties), Florida, South Carolina (Pickens, Laurens, Spartanburg, Newberry, Greenville, Union), North Carolina (Polk, Wilkes, Ashe )",140.0,Kph,2017,10.0,7.0,2017,10.0,8.0,,250000.0,94.70984073
2018,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Florence,United States of America (the),USA,Americas,"South and North Carolina, Virginia",,Kph,2018,9.0,12.0,2018,9.0,18.0,53.0,14000000.0,97.02312922
2018,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Michael,United States of America (the),USA,Americas,"Florida, Georgia, Alabama, North Carolina, Virginia, Maryland",250.0,Kph,2018,10.0,10.0,2018,10.0,11.0,49.0,16000000.0,97.02312922
2018,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Alberto',United States of America (the),USA,Americas,Southeast,,Kph,2018,5.0,27.0,2018,5.0,30.0,5.0,125000.0,97.02312922
2019,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cylone 'Barry',United States of America (the),USA,Americas,"Louisiana, Mississippi, Arkansas, Oklahoma, Great Lakes region",,Kph,2019,7.0,13.0,2019,7.0,15.0,1.0,600000.0,98.78144827
2019,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Dorian',United States of America (the),USA,Americas,"Florida, Georgia, South Carolina, North Carolina, Virginia",150.0,Kph,2019,8.0,28.0,2019,9.0,6.0,10.0,1600000.0,98.78144827
2019,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm ' Imelda',United States of America (the),USA,Americas,Texas,65.0,Kph,2019,9.0,17.0,2019,9.0,21.0,5.0,3500000.0,98.78144827
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Eta',United States of America (the),USA,Americas,"Florida, North Carolina, Virginia",100.0,Kph,2020,11.0,8.0,2020,11.0,12.0,12.0,1500000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Hanna',United States of America (the),USA,Americas,Texas,150.0,Kph,2020,7.0,25.0,2020,7.0,25.0,,1100000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Delta',United States of America (the),USA,Americas,"Louisiana, Texas, Mississippi, Georgia, North and South Carolina",195.0,Kph,2020,10.0,7.0,2020,10.0,11.0,4.0,2900000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Sally',United States of America (the),USA,Americas,"Alabama, Florida",165.0,Kph,2020,9.0,11.0,2020,9.0,18.0,8.0,6300000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Zeta',United States of America (the),USA,Americas,"Louisiana, Mississippi, Alabama, northern Georgia, south and North Carolinas",175.0,Kph,2020,10.0,24.0,2020,10.0,30.0,6.0,3500000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Laura',United States of America (the),USA,Americas,"Louisiana, Texas, Arkansas, Mississippi ",240.0,Kph,2020,8.0,27.0,2020,8.0,28.0,33.0,13000000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Cristobal',United States of America (the),USA,Americas,"errebonne, Plaquemines, Lafourche Parishes (Louisiana)",85.0,Kph,2020,6.0,7.0,2020,6.0,7.0,1.0,325000.0,100.0
2020,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Isaias',United States of America (the),USA,Americas,"North Carolina, South Carolina, New York, Maryland, Delaware, New Jersey, Connecticut, Florida, Virginia, Pennsylvania, New Hampshire",,Kph,2020,7.0,31.0,2020,8.0,2.0,16.0,4800000.0,100.0
2021,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Elsa',United States of America (the),USA,Americas,"California, Georgia, Florida",100.0,Kph,2021,7.0,2.0,2021,7.0,9.0,1.0,775000.0,
2021,Natural,Meteorological,Storm,Tropical cyclone,,Tropical depression 'Henri',United States of America (the),USA,Americas,"Rhode Isl., Connecticut, Vermont, New York, New Jersey states",120.0,Kph,2021,8.0,20.0,2021,8.0,25.0,,550000.0,
2021,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ida',United States of America (the),USA,Americas,"Louisiana, New York, New Jersey, Maryland, Connecticut, Virginia, Pennsylvania",240.0,Kph,2021,8.0,28.0,2021,9.0,2.0,77.0,10000000.0,
