Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Damages ('000 US$),CPI
1972,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,,,Kph,1972,6.0,,1972,6.0,,134.0,,16.15721204
1975,Natural,Meteorological,Storm,Tropical cyclone,,Eloise,United States of America (the),USA,Americas,Florida,,Kph,1975,9.0,16.0,1975,9.0,16.0,21.0,550000.0,20.79379863
1979,Natural,Meteorological,Storm,Tropical cyclone,,Frederic,United States of America (the),USA,Americas,Gulf coast,,Kph,1979,9.0,12.0,1979,9.0,12.0,31.0,2300000.0,28.04168132
1980,Natural,Meteorological,Storm,Tropical cyclone,,Allen,United States of America (the),USA,Americas,"Texas, Louisiana",270.0,Kph,1980,8.0,9.0,1980,8.0,9.0,,860000.0,31.84110657
1980,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Kalamazoo,,Kph,1980,5.0,13.0,1980,5.0,13.0,7.0,30000.0,31.84110657
1980,Natural,Meteorological,Storm,Tropical cyclone,,,United States of America (the),USA,Americas,Nebraska,,Kph,1980,6.0,4.0,1980,6.0,4.0,5.0,20000.0,31.84110657
1982,Natural,Meteorological,Storm,Tropical cyclone,,Iwa,United States of America (the),USA,Americas,Hawaii,,Kph,1982,11.0,23.0,1982,11.0,23.0,3.0,230000.0,37.28586971
1983,Natural,Meteorological,Storm,Tropical cyclone,,Alicia,United States of America (the),USA,Americas,Texas,,Kph,1983,8.0,17.0,1983,8.0,17.0,21.0,3000000.0,38.4836513
1985,Natural,Meteorological,Storm,Tropical cyclone,,Kate,United States of America (the),USA,Americas,"Florida, Panhandle, Georgia",177.0,Kph,1985,,,1985,,,5.0,,41.56182689
1985,Natural,Meteorological,Storm,Tropical cyclone,,Elena,United States of America (the),USA,Americas,"Florida, Arkansas, Kentucky, South Dakota, Iowa, Michgigan, Indianapolis, Missouri",209.0,Kph,1985,8.0,30.0,1985,8.0,30.0,4.0,1100000.0,41.56182689
1985,Natural,Meteorological,Storm,Tropical cyclone,,Gloria,United States of America (the),USA,Americas,East Coast,249.0,Kph,1985,9.0,27.0,1985,9.0,27.0,11.0,900000.0,41.56182689
1985,Natural,Meteorological,Storm,Tropical cyclone,,Juan,United States of America (the),USA,Americas,"Louisiana, Mississippi, Florida Panhandle",177.0,Kph,1985,10.0,27.0,1985,10.0,27.0,12.0,1500000.0,41.56182689
